score,metric,date,value,year,sentence,number
0.5594646334648132,marketable securities,"january 9, 2020",$250 million,2020,"on october 24, 2019, we filed a registration statement on form s-3 with the securities and exchange commission, which was declared effective on january 9, 2020, providing for the public offer and sale of certain securities of the company from time to time, at our discretion, up to an aggregate amount of $250 million.",250000000.0
0.3665529191493988,total number of customers,2021,three,2021,"in 2021, the three customers who contributed most to our data center revenue were microsoft, a us based large datacenter operator and a us based nem",3.0
0.2527712285518646,marketable securities,"january 9, 2020",$250 million,2020,"on october 24, 2019, the company filed a registration statement on form s-3 with the securities and exchange commission effective january 9, 2020, providing for the public offer and sale of certain securities of the company from time to time, at its discretion, up to an aggregate amount of $250 million",250000000.0
