score,metric,date,value,year,sentence,number
0.918431282043457,arr,the end of fiscal 2021,"$2,250 million",2021,"revaluing our ending total arr for fiscal 2021 using exchange rates set at the beginning of fiscal 2022, total arr at the end of fiscal 2021 would be $2,250 million.",2250000000.0
0.526986300945282,r&d value,"the year ended december 31, 2021",$28.4 million,2021,"research and development expenses increased $28.4 million or 4% during the year ended december 31, 2021, as compared to the year ended december 31, 2020, primarily due to an increase of $45.4 million in employee-related costs",28400000.0
