score,metric,date,value,year,sentence,number
0.5594646334648132,marketable securities,"january 9, 2020",$250 million,2020,"on october 24, 2019, we filed a registration statement on form s-3 with the securities and exchange commission, which was declared effective on january 9, 2020, providing for the public offer and sale of certain securities of the company from time to time, at our discretion, up to an aggregate amount of $250 million.",250000000.0
0.4506473541259765,total number of customers,2020,three,2020,"in 2020, the three customers who contributed most to our data center revenue were microsoft, amazon, and a us based large datacenter operator",3.0
0.2527712285518646,marketable securities,"january 9, 2020",$250 million,2020,"on october 24, 2019, the company filed a registration statement on form s-3 with the securities and exchange commission effective january 9, 2020, providing for the public offer and sale of certain securities of the company from time to time, at its discretion, up to an aggregate amount of $250 million",250000000.0
0.2227049320936203,marketable securities,"october 17, 2016",$250 million,2016,"on october 17, 2016, the company filed a registration statement on form s-3 with the securities and exchange commission effective november 1, 2016, providing for the public offer and sale of certain securities of the company from time to time, at its discretion, up to an aggregate amount of $250 million",250000000.0
0.1428757905960083,r&d value,2018,$6.5 million,2018,"research and development expense decreased by $6.5 million, or 13.0%, from 2018 to 2019",6500000.0
