score,metric,date,value,year,sentence,number
0.8917416930198669,r&d value,2021,$683.2 million,2021,"we invested $683.2 million in research and development during 2021, and we expect to continue with substantial investments in future years",683200000.0
0.7950242161750793,r&d value,2021,$683.2 million,2021,we invested $683.2 million in research and development (r&d) during 2021 to advance product innovation and drive total cost of deployment and ownership down,683200000.0
0.6887437701225281,r&d value,the past three years,$2.0 billion,2021,"over the past three years, our strong cash flow profile has allowed us to pay down $1.0 billion of debt, while also investing $2.0 billion in research and development aimed at both driving profit expansion and revenue growth",2000000000.0
0.3086046874523163,r&d value,"december 31, 2021",$78.8 million,2021,"the deferred tax asset for federal net operating loss and tax credit carryforwards as of december 31, 2021 relates to $5.6 million of net operating loss carryforwards, which begin to expire in 2028, $78.8 million of research and development credit carryforwards, which begin to expire in 2036 and $30.8 million of u.s",78800000.0
